[2024-08-02 10:26:58,285][WDM][INFO] - ====== WebDriver manager ======
[2024-08-02 10:26:59,419][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-02 10:27:04,950][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-02 10:27:05,032][WDM][INFO] - There is no [win64] chromedriver "127.0.6533.88" for browser google-chrome "127.0.6533" in cache
[2024-08-02 10:27:05,032][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-02 10:27:05,240][WDM][INFO] - WebDriver version 127.0.6533.88 selected
[2024-08-02 10:27:05,245][WDM][INFO] - Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/127.0.6533.88/win32/chromedriver-win32.zip
[2024-08-02 10:27:05,245][WDM][INFO] - About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/127.0.6533.88/win32/chromedriver-win32.zip
[2024-08-02 10:27:05,317][WDM][INFO] - Driver downloading response is 200
[2024-08-02 10:28:07,413][WDM][INFO] - Get LATEST chromedriver version for google-chrome
[2024-08-02 10:28:07,588][WDM][INFO] - Driver has been saved in cache [C:\Users\naren\.wdm\drivers\chromedriver\win64\127.0.6533.88]
