product_name,pricecheck_sku,barcode,case_barcode,inner_quantity,case_quantity,pallet_case_quantity,cases_per_layer,languages,country_of_origin,tariff_code,expiry_date,vat,piece_price,image_url
SAUCESOME! 500ML BROWN SAUCE,FOSAU005,5060222788181,5060222788198,1,6,234,39,EN,United Kingdom,21039090,"Jul 30, 2025",0.0,Please login for prices,
FAIRY NON BIO 1.225L WASHING LIQUID 35W,HOFAI321,8006540946794,08006540946817,1,4,75,25,EN,United Kingdom,34025090,"Sep 13, 2025",20.0,Please login for prices,
PANTENE PRO V 400ML CONDITIONER LIFT 'N' VOLUME,TOPAN626,8006540635728,8006540635735,1,6,280,56,EN,France,33059000,,20.0,Please login for prices,
DOMESTOS 55G POWER TOILET BLOCK PINK WHITE ROSE & TEA TREE,HODOM103,8720182312426,8720182312433,1,9,198,22,EN,Poland,34023100,,20.0,Please login for prices,
SNACK A JACKS 5X19G SOUR CREAM & CHIVE 5 PACK,FOSNA001,5000328250762,500032850779,1,6,60,12,EN,United Kingdom,19059055,"Apr 5, 2025",20.0,Please login for prices,
SAUCESOME! 500ML SWEET CHILLI SAUCE,FOSAU001,5060222787887,5060222787931,1,6,234,39,EN,United Kingdom,21039090,"Jul 26, 2025",0.0,Please login for prices,
SAUCESOME! 500ML GARLIC MAYO,FOSAU004,5060222784978,5060222787948,1,6,234,39,EN,United Kingdom,21039090,"Aug 3, 2025",0.0,Please login for prices,
PENN STATE 175G BAKED PRETZELS SEA SALTED,FOPEN002,5032439100070,05032439902643,1,8,84,14,EN,United Kingdom,19059055,"Feb 28, 2025",0.0,Please login for prices,
COLGATE 100ML TOOTHPASTE MAX FRESH CLEAN MINT,TOCOL730,8718951288881,08718951288874,12,72,42,6,"EN, AR, FR",India,33061000,"Sep 15, 2026",20.0,Please login for prices,
NESCAFE GOLD INSTANT COFFEE SACHETS CAPPUCCINO 8 PACK PMP £2.79,FONES115,8445290721600,8445290721594,1,6,196,28,EN,United Kingdom,21011100,"Apr 30, 2025",0.0,Please login for prices,
