product_name,pricecheck_sku,barcode,case_barcode,inner_quantity,case_quantity,pallet_case_quantity,cases_per_layer,languages,country_of_origin,tariff_code,expiry_date,vat,piece_price
COLGATE 100ML TOOTHPASTE MAX FRESH CLEAN MINT,TOCOL730,8718951288881,08718951288874,12,72,42,6,"EN, AR, FR",India,33061000,"Sep 15, 2026",20.0,Please login for prices
OLD SPICE 150ML DEODORANT BODY SPRAY WOLFTHORN,CGOLD241,4084500507562,4084500507579,1,6,396,66,"EN, AR, FR, TR",United Kingdom,33072000,"May 1, 2025",20.0,Please login for prices
SPIDEY & FRIENDS COLOURING SET,FASPI037,5012128602061,5024004987612,12,24,42,14,EN,China,49030000,,20.0,Please login for prices
COMFORT ULTIMATE CARE 870ML FABRIC CONDITIONER TROPICAL LILY 58W,HOCOM106,8720181261220,8720181261237,1,6,100,20,EN,United Kingdom,34024100,,20.0,Please login for prices
DETTOL 250ML WASHING MACHINE CLEANER LAVENDER,HODET210,5011417571750,05011417793138,1,6,248,62,EN,Portugal,38249945,"Sep 30, 2025",20.0,Please login for prices
VIAKAL 750ML CLEANING SPRAY REGULAR,HOVIA010,8001841417462,08001841417455,1,10,51,17,EN,Italy,34024200,,20.0,Please login for prices
OLD SPICE 50ML DEODORANT STICK KRAKENGARD,CGOLD240,8001841858432,8001841858449,1,6,648,72,"EN, SI, BG, CZ, EE, HR, HU, KZ, LT, LV, PL, RU, SK, UA",Poland,33072000,"Jul 21, 2026",20.0,Please login for prices
POLO 5X25G SPEARMINT TUBE 5 PACK,FOPOL010,7613034961983,07613034961990,1,24,144,36,EN,United Kingdom,17049081,"May 31, 2025",20.0,Please login for prices
POLO 5X24.5G SUGAR FREE TUBE 5 PACK,FOPOL011,7613036667210,07613036667227,1,24,144,36,EN,United Kingdom,17049081,"Jun 30, 2025",20.0,Please login for prices
GILLETTE SKIN 175ML SHAVING CREAM TUBE ULTRA SENSITIVE,TOGIL750,7702018607228,7702018607211,1,6,342,57,"EN, IT, PT",Poland,33071000,,20.0,Please login for prices
HERBAL ESSENCES 275ML CONDITIONER HYDRATE COCONUT MILK,TOHER285,8006540414002,8006540414019,1,6,192,48,"EN, AZ, TR",France,33059000,,20.0,Please login for prices
NESCAFE GOLD INSTANT COFFEE SACHETS CAPPUCCINO 8 PACK PMP £2.79,FONES115,8445290721600,8445290721594,1,6,196,28,EN,United Kingdom,21011100,"Apr 30, 2025",0.0,Please login for prices
COLGATE 125ML TOOTHPASTE TRIPLE ACTION MINT,TOCOL786,6281001112013,6281001610663,12,48,54,9,"EN, AR, FR",China,33061000,"Sep 16, 2026",20.0,Please login for prices
PANTENE PRO V 400ML CONDITIONER LIFT 'N' VOLUME,TOPAN626,8006540635728,8006540635735,1,6,280,56,EN,France,33059000,,20.0,Please login for prices
DOMESTOS 55G POWER TOILET BLOCK PINK WHITE ROSE & TEA TREE,HODOM103,8720182312426,8720182312433,1,9,198,22,EN,Poland,34023100,,20.0,Please login for prices
AUSSIE 300ML SHAMPOO NOURISH,TOAUS339,8001841432380,8001841432397,1,6,343,49,"EN, FR",France,33051000,,20.0,Please login for prices
AUSSIE 300ML SHAMPOO MIRACLE REPAIR,TOAUS341,8001841429595,8001841429601,1,6,196,49,FR,France,33051000,,20.0,Please login for prices
DOVE NOURISHING SECRETS 250ML BODY WASH SOOTHING SUMMER RITUAL ALOE VERA & ROSE WATER,TODOV1285,8710847973208,08710847973260,6,12,96,24,"EN, DE",Germany,34013000,,20.0,Please login for prices
AIRWAYS MENTHOL 46'S PMP £2.50,FOAIR002,4009900550741,45032851000505,6,144,30,6,EN,United Kingdom,17041010,"Sep 19, 2025",20.0,Please login for prices
DORITOS 180G TORTILLA CHIPS CHILLI HEATWAVE,FODOR009,5000328741901,5000328741918,1,12,30,10,EN,United Kingdom,19059055,"Dec 8, 2024",20.0,Please login for prices
DORITOS 180G TORTILLA CHIPS TANGY CHEESE,FODOR011,5000328741314,05000328741321,1,12,30,10,EN,United Kingdom,19059055,"Dec 14, 2024",20.0,Please login for prices
KIT KAT CHUNKY 42G CRUNCHY DOUBLE CHOCOLATE PMP 75P,FOKIT072,3800020492536,3800020446355,1,24,444,37,EN,United Kingdom,19053211,"Feb 28, 2025",20.0,Please login for prices
SKITTLES 318G MORE TO SHARE POUCH,FOSKI057,4009900546225,4009900546232,1,10,128,16,EN,Czechia,17049065,"May 12, 2026",20.0,Please login for prices
WRIGLEYS EXTRA PEPPERMINT 46'S PMP £2.50,FOWRI022,4009900550833,4009900550864,6,144,30,6,EN,United Kingdom,17041010,"Sep 18, 2025",20.0,Please login for prices
WRIGLEYS EXTRA STRAWBERRY 46'S PMP £2.50,FOWRI024,4009900550802,4009900550826,6,144,30,6,EN,United Kingdom,17041010,"Sep 23, 2025",20.0,Please login for prices
OLD SPICE 150ML ANTIPERSPIRANT & DEODRANT BODY SPRAY RESTART,CGOLD238,8006540796115,8006540796139,1,6,462,66,"EN, AT, CH, DE, ES, PT, TR",United Kingdom,33072000,"Jul 30, 2025",20.0,Please login for prices
LANCOME CLARIFIQUE 250ML DUAL ESSENCE,COSLAN088,3614272520684,03614273126694,1,15,45,9,"EN, JP, FR",France,33049900,,20.0,Please login for prices
OLE HENRIKSEN TRUTH 30ML BANANA BRIGHT SERUM,COSOLE002,840026641609,,1,104,25,5,"EN, SI, BG, DK, DE, GR, FI, FR, HR, IT, NL, NO, PL, RO",United States,33049900,,20.0,Please login for prices
ORIGIN GINZING 15ML EYE CREAM REFRESHING,COSORI014,717334254954,14004763603791,3,90,112,16,"EN, DK, DE, GR, IT, NL, PT, RO, SE",United States,33049900,,20.0,Please login for prices
PIXI 80ML HYDRATING MILKY MIST,COSPIX007,885190820023,,1,22,168,28,"EN, FR",,33049900,,20.0,Please login for prices
PIXI GLOW 30ML SERUM EXFOLIATING RADIANCE,COSPIX017,885190823055,,1,12,168,28,"EN, FR",United States,33049900,,20.0,Please login for prices
PIXI VITAMIN C 80ML ENERGIZING FACIAL WATER,COSPIX035,885190820030,,1,10,168,28,"EN, FR",South Korea,33049900,,20.0,Please login for prices
