Product Name,Other,Barcode,Case Barcode,Inner Quantity,Case Quantity,Pallet Case Quantity,Cases Per Layer,Languages,Country Of Origin,Tariff Code,Expiry Date,Pricecheck SKU,Piece Price (Excl. VAT),VAT,,Image URL
OLD SPICE 50ML DEODORANT STICK KRAKENGARD,Expiry Date:,8001841858432,8001841858449,1,6,648,72,"EN, SI, BG, CZ, EE, HR, HU, KZ, LT, LV, PL, RU, SK, UA",Poland,33072000,"Jul 21, 2026",CGOLD240,Please login for prices,,,
OLD SPICE 150ML DEODORANT BODY SPRAY WOLFTHORN,Expiry Date:,4084500507562,4084500507579,1,6,396,66,"EN, AR, FR, TR",United Kingdom,33072000,"May 1, 2025",CGOLD241,Please login for prices,,,
MAX FACTOR FALSE LASH EFFECT MASCARA BLACK BROWN,VAT:,3614225257858,03614225257919,3,126,84,12,EN,United Kingdom,33042000,,COSMAX1428,Please login for prices,20%,,
NUXE 50ML INSTA-MASQUE DETOXIFYING & GLOW MASK,VAT:,3264680016011,,1,1,18,6,"EN, DE, NL",France,33049900,,COSNUX079,Please login for prices,20%,Piece Price (Excl. VAT):,
NUXE 400ML BODY MILK VERY ROSE,VAT:,3264680038891,,6,24,27,9,"EN, DE, ES, FR, IT, NL, PT",France,33049900,,COSNUX080,Please login for prices,20%,Piece Price (Excl. VAT):,
POLO 5X25G SPEARMINT TUBE 5 PACK,Expiry Date:,7613034961983,07613034961990,1,24,144,36,EN,United Kingdom,17049081,"May 31, 2025",FOPOL010,Please login for prices,,,
POLO 5X24.5G SUGAR FREE TUBE 5 PACK,Expiry Date:,7613036667210,07613036667227,1,24,144,36,EN,United Kingdom,17049081,"Jun 30, 2025",FOPOL011,Please login for prices,,,
COMFORT ULTIMATE CARE 870ML FABRIC CONDITIONER TROPICAL LILY 58W,VAT:,8720181261220,8720181261237,1,6,100,20,EN,United Kingdom,34024100,,HOCOM106,Please login for prices,20%,,
DETTOL MULTIPURPOSE WIPES WATERLILY 50'S,Expiry Date:,5011417580172,05011417801383,1,7,165,33,EN,Poland,34011100,"Mar 1, 2025",HODET230,Please login for prices,,,
DETTOL 250ML WASHING MACHINE CLEANER LAVENDER,Expiry Date:,5011417571750,05011417793138,1,6,248,62,EN,Portugal,38249945,"Sep 30, 2025",HODET210,Please login for prices,,,
